id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.uprime sloan.sdss.uprime_err sloan.sdss.gprime sloan.sdss.gprime_err sloan.sdss.rprime sloan.sdss.rprime_err sloan.sdss.iprime sloan.sdss.iprime_err sloan.sdss.zprime sloan.sdss.zprime_err panstarrs.ps1.g panstarrs.ps1.g_err panstarrs.ps1.r panstarrs.ps1.r_err panstarrs.ps1.i panstarrs.ps1.i_err panstarrs.ps1.z panstarrs.ps1.z_err panstarrs.ps1.y panstarrs.ps1.y_err 2mass.J 2mass.J_err 2mass.H 2mass.H_err 2mass.Ks 2mass.Ks_err wise.W1 wise.W1_err wise.W2 wise.W2_err wise.W3 wise.W3_err wise.W4 wise.W4_err
SN2018bcc 0.0636 0.03967 0.007422103340697973 0.0439 0.005055903875668524 0.05787 0.008282924906094466 0.147 0.015250630183700606 0.1892 0.02179042220793347 0.2441 0.03172247941129445 0.2478 0.03190702743910814 nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.115 0.01905219409936819 0.05624 0.008314610754569332 nan nan nan nan
SN2019dge 0.0213 nan nan nan nan 0.05862 0.009283008564037847 0.1532 0.015603902364472805 0.2397 0.025253348372047617 0.2692 0.027800679200336097 0.3133 0.035526488709130825 0.1529 0.017270815296331555 0.2386 0.02487494098485462 0.2816 0.030482363753488676 0.297 0.033423029485670504 0.3119 0.04632362895974365 0.2845 0.07046831486561886 0.3113 0.1464468739850735 nan nan 0.1505 0.018868145112861518 0.09845 0.011570577600102772 nan nan nan nan
SN2018gep 0.03154 0.03333 0.0034579083272984553 0.03688 0.0037923031115669015 0.04567 0.007978424217851544 0.1097 0.011798781123488986 0.123 0.013315787659766883 0.1389 0.015998248154094875 0.1489 0.026814214513947637 0.1008 0.011022208535497775 0.1094 0.013355692456776624 0.1061 0.013182239149704426 0.1272 0.018893366560780004 nan nan nan nan nan nan nan nan 0.06963 0.013804700974668014 0.03604 0.008896671962031645 nan nan nan nan
SN2018ghd 0.03923 nan nan nan nan 0.226 0.024882284862930093 0.8742 0.08804474601019642 1.628 0.16363300431147745 2.283 0.2296898841917075 2.954 0.30313238180702506 0.8921 0.08994817452288847 1.6 0.1611419327797703 2.239 0.22484749142474325 2.752 0.27747769351787543 3.386 0.3448751949618876 3.522 0.39485071862667287 4.93 0.5611354560175288 3.575 0.47966476835389943 2.428 0.2454221840013653 1.568 0.15828896234418877 nan nan nan nan
AT2018lug 0.2714 0.007799 0.0036766687381378266 0.0114 0.0015297058540778357 0.008403 0.0036558813014100993 0.01492 0.0015853241971281458 0.02204 0.0024619149051094357 0.01879 0.003099494474910385 0.03644 0.006255874119577535 0.01202 0.001487104354105656 0.01549 0.002012616704690687 0.01724 0.0019255268785451944 0.02866 0.003845523631444748 0.01664 0.010147363992683026 nan nan nan nan nan nan 0.0184 0.0057844494984397605 0.004471 0.0051056140091080135 nan nan nan nan
SN2018gjx 0.00999 nan nan 2.689 0.2718046116238649 5.776 0.6021825719829493 15.91 1.5991455343401364 26.02 2.6337005828301745 35.32 3.731573394695594 44.71 4.7650545642206446 16.25 1.6551161560446446 26.18 2.642867928974129 32.84 3.344885960686852 38.2 3.8665389704488953 45.46 4.7638106595455705 52.58 5.406629726548694 59.49 6.171979990246243 50.54 5.269062155640223 33.92 3.4036359147241355 20.4 2.0568961106482746 nan nan nan nan
SN2019deh 0.05469 0.2984 0.0359670960740508 0.3722 0.03752823470401985 0.6957 0.07253030401149578 1.963 0.1986907720554732 3.034 0.3070973137297036 4.313 0.44259026073785224 4.773 0.5753127236555785 1.936 0.2116797581253342 3.051 0.3107542278071209 3.802 0.3821463468358686 4.112 0.4592892334901832 5.998 0.6991827586547026 5.395 0.67634507464755 7.212 0.9371935179033197 6.404 1.0004289679932303 3.062 0.33149274501865045 1.815 0.20053660114801986 nan nan nan nan
AT2019esf 0.0758 0.03545 0.0039596364732131665 0.04422 0.004566833147816986 0.1312 0.019763167762279408 0.3519 0.08838723041254319 0.4844 0.11418403391017504 0.6183 0.1161878040071332 0.5702 0.10048476501440405 0.2379 0.046025255023736694 0.3601 0.05498293007834341 0.48 0.07810905453274927 0.4635 0.06820794748414587 0.5728 0.12722404804124102 0.6054 0.11423173158102788 1.018 0.19609436503887612 0.8003 0.17045542203168546 0.4575 0.057608702467595994 0.213 0.03163514027153981 1.065 0.12835318305363524 0.3894 0.2712100359499995
AT2019kyw 0.074 nan nan nan nan 0.02308 0.004014733988697134 0.04037 0.0043991900390867415 0.04546 0.005854471538917924 0.0504 0.006180334052460271 0.05405 0.013343688582996832 0.0348 0.0047780200920464954 0.0511 0.00562613686289269 0.05582 0.005880894914891781 0.05521 0.006890614631511475 0.06824 0.02009420254700345 nan nan nan nan nan nan 0.019 0.008902123847711848 nan nan nan nan nan nan
SN2019myn 0.1 0.01464 0.0021053420149704893 0.0135 0.0018624148302674138 0.01813 0.005683901652914132 0.04089 0.004534049183676773 0.06749 0.00813447490622474 0.08535 0.009533269848273466 0.07462 0.017845042560890687 0.05351 0.006707848090110569 0.06071 0.006755911263478821 0.07393 0.00819769559083527 0.08234 0.01141021283762928 0.06792 0.038493939315170124 nan nan nan nan nan nan 0.04298 0.009332601995156549 0.01565 0.007891733016264552 nan nan nan nan
