PTF09as   ,SLSN-I    ,0.1866,GAL.LINES ,2009cb  ,12,59,15.8616,27,16,40.8025,12,59,15.8702,27,16,40.7064,0.149,0.178,0.48,0.574,0.01
PTF09atu  ,SLSN-I    ,0.501,GAL.LINES ,        ,16,30,24.5372,23,38,25.5898,16,30,24.5435,23,38,25.5224,0.109,0.158,0.686,0.995,0.04
PTF09awk  ,SNIb      ,0.0616,GAL.LINES ,        ,13,37,56.3581,22,55,4.7806,13,37,56.3593,22,55,4.777,0.017,0.165,0.021,0.202,0.02
PTF09axi  ,SNII      ,0.064,GAL.LINES ,        ,14,12,40.8502,31,4,3.8878,14,12,40.9429,31,4,3.4,1.287,0.114,1.636,0.145,0.01
PTF09bce  ,SNII      ,0.0234,GAL.LINES ,        ,16,35,17.68,55,37,59.3324,16,35,17.6568,55,38,1.536,2.212,0.107,1.079,0.052,0.01
PTF09bcl  ,SNIIn     ,0.06,MATCHING  ,        ,18,6,26.8088,17,51,43.1467,18,6,26.4418,17,51,42.6704,5.261,0.06,6.3,0.072,0.08
PTF09be   ,SNII      ,0.102,MATCHING  ,        ,14,10,18.5375,16,53,38.711,14,10,18.4932,16,53,38.5346,0.661,0.249,1.281,0.483,0.02
PTF09bgf  ,SNII      ,0.0318,GAL.LINES ,        ,14,41,38.3294,19,21,43.7976,14,41,38.3509,19,21,43.1917,0.678,0.145,0.445,0.095,0.02
PTF09bw   ,SNII      ,0.147,GAL.LINES ,2009cw  ,15,5,1.9899,48,40,3.486,15,5,2.0346,48,40,3.225,0.515,0.123,1.367,0.326,0.02
PTF09cjq  ,SNII      ,0.01929,SDSS      ,        ,21,16,28.5023,0,49,39.7049,21,16,27.606,0,49,34.7747,14.319,0.135,5.788,0.055,0.06
PTF09cnd  ,SLSN-I    ,0.2583,GAL.LINES ,        ,16,12,8.8376,51,29,16.0177,16,12,8.8375,51,29,15.4864,0.531,0.441,2.194,1.822,0.02
PTF09ct   ,SNIIn     ,0.156,GAL.LINES ,2009cv  ,11,42,13.8269,10,38,54.1871,11,42,13.8433,10,38,53.8717,0.397,0.404,1.107,1.126,0.03
PTF09cu   ,SNII      ,0.05692,SDSS      ,2009ct  ,13,15,23.1349,46,25,9.1628,13,15,23.8974,46,25,13.4706,8.985,0.221,10.244,0.252,0.01
PTF09cvi  ,SNII      ,0.036,MATCHING  ,        ,21,47,9.9468,8,18,35.3545,21,47,9.9247,8,18,35.5543,0.384,0.205,0.284,0.152,0.07
PTF09cwl  ,SLSN-I    ,0.35,GAL.LINES ,2009jh  ,14,49,10.1085,29,25,11.6792,14,49,10.177,29,25,12.7751,1.415,0.205,7.207,1.044,0.01
PTF09dah  ,SNIIb     ,0.0238,GAL.LINES ,        ,22,45,17.0938,21,49,15.2738,22,45,17.1023,21,49,15.2911,0.12,0.069,0.06,0.034,0.05
PTF09dfk  ,SNIb      ,0.0158,GAL.LINES ,        ,23,9,13.4272,7,48,15.3061,23,9,13.483,7,48,16.5809,1.521,0.132,0.506,0.044,0.05
PTF09dh   ,SNIc      ,0.077,MATCHING  ,2009dr  ,14,44,42.0726,49,43,45.1304,14,44,42.1253,49,43,45.1225,0.511,0.094,0.77,0.142,0.02
PTF09dra  ,SNII      ,0.07657,SDSS      ,        ,15,48,11.4833,41,13,28.6806,15,48,11.3176,41,13,31.5415,3.417,0.166,5.121,0.249,0.01
PTF09drs  ,SNIIn     ,0.0446,GAL.LINES ,        ,15,6,30.1741,60,35,39.4501,15,6,30.2509,60,35,40.5208,1.211,0.131,1.098,0.119,0.01
PTF09dsj  ,SNIIb     ,0.141,MATCHING  ,        ,13,37,14.7713,64,44,13.0099,   ,   ,        ,    ,   ,        ,-99.0,-99.0,-99.0,-99.0,0.02
PTF09due  ,SNII      ,0.028423,SDSS      ,2009ir  ,16,26,52.3827,51,33,23.9015,16,26,53.2235,51,33,18.4237,9.565,0.119,5.634,0.07,0.02
PTF09dxv  ,SNIIb     ,0.0324,NED       ,        ,23,8,34.7538,18,56,13.6327,23,8,34.7585,18,56,20.1822,6.55,0.095,4.377,0.063,0.15
PTF09dzt  ,SNIc      ,0.0874,GAL.LINES ,        ,16,3,4.1977,21,1,47.3178,16,3,3.838,21,1,47.429,5.037,0.258,8.508,0.436,0.08
PTF09ecm  ,SNII      ,0.0289,GAL.LINES ,        ,1,6,42.9135,-6,22,44.6232,1,6,43.1722,-6,22,46.439,4.262,0.145,2.551,0.087,0.13
PTF09eqb  ,SNII      ,0.146,MATCHING  ,        ,4,31,18.3301,-10,29,43.2413,4,31,18.3161,-10,29,43.3187,0.22,0.213,0.581,0.562,0.05
PTF09fae  ,SNIIb     ,0.0668,GAL.LINES ,        ,17,26,20.3538,72,56,30.8659,17,26,20.1231,72,56,28.7027,2.39,0.182,3.161,0.241,0.03
PTF09fbf  ,SNII      ,0.020744,NED       ,        ,21,20,38.4842,1,2,52.9274,21,20,38.2328,1,2,50.1688,4.672,0.169,2.027,0.073,0.06
PTF09fma  ,SNII      ,0.031,NED       ,        ,3,10,23.3358,-9,59,58.4732,3,10,23.1363,-10,0,0.8575,3.79,0.058,2.427,0.037,0.08
PTF09fmk  ,SNII      ,0.0631,NED       ,        ,23,57,46.2509,11,58,45.9386,23,57,46.4282,11,58,44.6365,2.91,0.154,3.651,0.193,0.08
PTF09foq  ,SNII      ,0.019904,NED       ,2009ju  ,5,18,54.841,19,10,11.2768,5,18,56.3118,19,10,22.5124,23.673,0.071,9.867,0.03,0.43
