L,logL
1.3158266381163162e-26,-59.59274732757392
3.6456985537124903e-20,-44.75815386567321
1.1240484364107011e-15,-34.42183955147558
8.683506813195143e-15,-32.37735093709202
1.3747216657574165e-14,-31.917940016192492
7.458280989357563e-19,-41.739791809605386
1.5907855336602582e-15,-34.07454845435204
1.6323882668123232e-17,-38.653902444066645
1.699519663011155e-15,-34.00843073494352
4.8130736419462706e-15,-32.96744050407384
1.8674280437879505e-16,-36.21679938139173
8.714326313959148e-17,-36.97897820681272
1.0267463824249886e-15,-34.5123814443884
1.3857727983685338e-17,-38.81768861970945
2.094929975298043e-17,-38.404426452762024
2.026178536858564e-17,-38.43779505612242
9.186269211778826e-17,-36.92623668867751
1.9276955026277377e-14,-31.57986605252294
7.670783374578406e-15,-32.50135764986057
1.07457682955001e-12,-27.559094178778434
1.0511713272003685e-18,-41.39662658177198
1.1349329262990707e-14,-32.109617748501236
2.641404687720499e-14,-31.26488044758008
3.483398084952533e-23,-51.711448860311535
1.3927015727770967e-13,-29.60236077054561
2.820328545823908e-16,-35.80450810412965
8.000102015129674e-24,-53.182587938367355
1.1821586747609888e-20,-45.884359707300156
9.54856889015395e-22,-48.40048075703981
1.699824039417691e-14,-31.705666562436498
8.882880376790382e-21,-46.17016108171073
1.378957581862299e-16,-36.52003364963751
1.5628754000176104e-15,-34.09224906512785
4.787521244081294e-18,-39.880518881989886
1.1564115977599327e-15,-34.393454634606925
3.5286847304617144e-13,-28.672681005012034
1.1271391531002594e-11,-25.20875332336027
1.2598445211104566e-10,-22.79486261253506
6.138660448866567e-16,-35.0267549374848
1.5160683201826177e-15,-34.12265604262243
1.8793608799387614e-13,-29.302674447358772
5.0599496242517826e-15,-32.91741986734233
1.2395055745379593e-14,-32.02147873202504
4.237328667181229e-17,-37.70001354153323
5.670495908172968e-16,-35.10608491223072
1.6123891965355687e-20,-45.573984807880905
3.663905838084745e-18,-40.14800192662385
2.196263439861458e-11,-24.541678542975227
8.852594855639262e-15,-32.35806577483971
2.821678658169282e-16,-35.80402951120258
7.367654230067638e-16,-34.84426211865393
7.345017856325379e-16,-34.847339247196025
8.012707917228035e-14,-30.1551625308985
1.7522238191624113e-22,-50.09598631085075
8.937725214592875e-15,-32.34849528837248
2.7474180885477228e-18,-40.435870080127046
5.104797168893245e-17,-37.51376586192393
6.318043940707595e-16,-34.997951830704515
1.792631149228947e-11,-24.74475156658017
3.3877169802569223e-17,-37.923790343531905
1.2818078649913513e-13,-29.685334732957536
9.925606452137766e-22,-48.36175411767253
2.2935290631096946e-17,-38.31385487397731
7.783238447806383e-18,-39.39455916938034
3.072029949804356e-17,-38.0216080163756
3.463211251495927e-19,-42.50692050087381
4.9984047985780015e-17,-37.534827759653254
6.3587084207727175e-18,-39.59670639565888
2.098244890734953e-20,-45.310600630915616
3.311753190999149e-13,-28.736128494802166
1.3519479273514218e-19,-43.44757030528043
2.458096380857056e-18,-40.5471444524286
2.7234433460513486e-12,-26.629124100193778
4.1370729168616603e-19,-42.32912825402227
6.11539115886219e-17,-37.33313784669797
4.8463431422916826e-17,-37.56572215162383
2.014039684212503e-26,-59.167069919565925
8.894101474485832e-16,-34.655973186562015
6.20803808565075e-16,-35.01551657011178
2.0470275351603229e-16,-36.12497272984545
1.3781110168546553e-14,-31.91547756881507
1.055952081996243e-20,-45.9972590525239
7.196027075010499e-17,-37.17041750230916
3.4150111831863757e-16,-35.6131807201622
4.425964932703531e-16,-35.35387316932951
1.6893464108355887e-16,-36.31701977292316
5.899032427243608e-19,-41.974328424806345
7.753161780255902e-15,-32.490675663097306
8.259111545045533e-19,-41.6377997462716
1.6249967965280512e-16,-36.355855643492326
2.8324530823556537e-11,-24.28729287319203
2.3998707118515713e-18,-40.57111680805182
1.2246488688154625e-14,-32.033537136710045
5.168401747074011e-19,-42.106553265991046
2.332377838906009e-12,-26.7841328370201
1.9086975875720455e-20,-45.405280741739546
2.074969447568635e-14,-31.506244872405688
3.8127382563726496e-19,-42.41076913343119
2.8264689787751193e-16,-35.8023332659688
1.0522246968276334e-14,-32.185284620267915
4.478124821228158e-11,-23.82923163082124
1.832095135223657e-17,-38.53848638628791
7.397436578269854e-22,-48.65573851401402
2.2308521171896401e-13,-29.131222581106357
3.569017377497524e-11,-24.056145709428097
1.5514479474399745e-16,-36.40217283339046
1.1858324875410741e-15,-34.36833134584434
1.827422283392566e-14,-31.63328491636649
1.2085841821485322e-13,-29.744156631810284
6.097078109498416e-11,-23.52062636495452
1.3531875141261853e-14,-31.93372837095898
4.394324495208054e-11,-23.84812220208389
2.5237468905985474e-16,-35.915616829316626
2.139601469625649e-14,-31.475571719372574
7.727005975040392e-25,-55.519905862632186
1.255598853999139e-16,-36.613748854631226
4.489835250689942e-15,-33.03696038632638
2.5869152387353884e-13,-28.98314007056339
1.6703678858217081e-16,-36.32831759482534
8.061756695024179e-17,-37.056815095892134
6.076676059059539e-12,-25.82656327025843
2.8918302422669875e-14,-31.174301698420788
5.825278956700039e-16,-35.0791546000374
1.0467063162314488e-17,-39.098298188614436
2.11128638467483e-16,-36.09406406520118
1.604840255517179e-16,-36.36833726554891
3.839965311053614e-15,-33.19331306193164
1.250462907731588e-13,-29.71009239997693
1.0231767934725131e-18,-41.42361938321105
1.2309721179550966e-17,-38.93614238386759
2.320677995801011e-17,-38.30208719834482
1.4111246815535125e-18,-41.10214464096178
9.77076461193707e-15,-32.259381670716905
1.2278248399574604e-14,-32.03094712083664
1.5215847151088562e-17,-38.72419421341571
7.991909863520129e-16,-34.762931724960396
1.1111650011502771e-15,-34.433367379393744
3.3163407270882314e-14,-31.037329317483106
1.0986340126292376e-15,-34.44470879348791
4.588895927239722e-14,-30.71255184550599
6.994534769762904e-17,-37.198817483962
3.22757185855659e-16,-35.669631379950225
3.053030036668406e-11,-24.212301470819284
1.0541200000009444e-17,-39.09124028526695
8.32526893671192e-15,-32.41948105485582
9.709561752989157e-21,-46.081175805165024
1.9369478937577652e-11,-24.66732253935791
1.838840149034398e-15,-33.92964137583192
1.5970894422945926e-18,-40.97834879978205
7.87309622967118e-14,-30.17273989504403
1.2125624496910186e-18,-41.253795826489835
4.721996865691265e-25,-56.01239554995524
4.363326879192977e-21,-46.8810521407989
6.185289368341005e-20,-44.22952806962707
2.136560971338913e-15,-33.77957888126185
1.0093637716481267e-13,-29.924286005619358
2.0010959501852223e-12,-26.937326110359518
2.460033871289742e-18,-40.54635655522638
1.996428870426747e-17,-38.45258656114641
1.8251210242204645e-26,-59.265566118368106
