L,logL
7.2023652536539485e-25,-55.59021784532394
1.8382750270709668e-19,-43.14028912026765
2.52229733288126e-20,-45.12653173361673
6.949661250271896e-20,-44.11300894246017
4.8514331391093096e-23,-51.380182984963135
8.482195273111524e-18,-39.3085623810456
2.341474083064062e-19,-42.898336085825115
5.538776980422985e-24,-53.55026851712585
2.4705503156032896e-19,-42.8446758412238
1.086314018050167e-20,-45.9689115291062
5.06356447462711e-23,-51.337386461940305
9.86368643812403e-19,-41.460256790041434
3.820521249112799e-20,-44.71131499392391
5.214764620485674e-21,-46.702793000534676
1.9965385275267763e-20,-45.3602869150119
1.8125166595990313e-23,-52.36474083965568
6.60973234679963e-24,-53.37349907097678
3.76446540874681e-24,-53.93643637039541
5.854949882659504e-24,-53.494754794594776
8.249395527745125e-22,-48.546732117570976
3.743042481236481e-24,-53.942143453483716
9.436428572495494e-19,-41.5045391874988
4.744456188731768e-19,-42.19213994861485
3.019642193570417e-18,-40.34139332847542
1.416163350679089e-23,-52.611505789595974
4.014934040442746e-19,-42.359095847906346
1.0111519246976437e-17,-39.132856380441254
1.715540780960046e-19,-43.20938841179823
5.548011504638587e-24,-53.54860265575154
7.776978557522632e-20,-44.000533957337574
1.8707177447773034e-19,-43.12279458892418
3.677045793603029e-19,-42.447007110578646
2.782623196450562e-21,-47.33089287423359
8.54997150033208e-22,-48.51094409622039
1.4766758643711573e-19,-43.35932324282354
1.9674818843452479e-26,-59.19045792402656
1.1391470643793544e-20,-45.92142206664861
1.5206220514424643e-21,-47.93516745736437
5.5273195128381284e-21,-46.644583972243296
4.8725766213751884e-24,-53.67841935431175
1.6883260228613305e-18,-40.92279415486295
4.7358095065838555e-20,-44.49654918553554
1.3209984926268766e-20,-45.77331397542625
2.481189749916922e-19,-42.84037858387768
5.798964175760719e-23,-51.20177782764593
7.999310132315294e-19,-41.66976146238594
1.1598726964410634e-18,-41.29822141924427
1.0389243054061245e-21,-48.316101096726406
9.300375167588355e-21,-46.124232212928504
7.245525009685869e-20,-44.07131782162871
6.185991085970811e-17,-37.32165934763745
4.1403511014405724e-19,-42.328336175534304
6.665196995033089e-24,-53.365142722019094
2.9633470845767236e-22,-49.57055264455749
7.933787589126489e-19,-41.6779862173832
5.35775561708062e-21,-46.67574179363995
4.647398336357612e-26,-58.330904852380584
6.245812068327745e-19,-41.91720559680274
1.3160252025926612e-19,-43.47450078326084
1.467936721744652e-20,-45.66784403569622
7.511574064103584e-19,-41.73267172732013
2.0488278283249974e-20,-45.33443402132642
1.4329722916127668e-20,-45.6919510471515
3.0058380070293803e-23,-51.85890073886151
1.5968661455714225e-20,-45.58365881033399
3.751333359069829e-19,-42.42700542768326
4.511207256238194e-24,-53.75547742985354
4.5103435775365507e-23,-51.45308380697815
6.264811795067816e-20,-44.2167533126756
9.045260757054143e-18,-39.24429072659941
1.7398998602214385e-20,-45.49787429990751
5.065602115940729e-21,-46.73181394446267
3.4011104809403066e-21,-47.130184962537676
5.430324744505885e-19,-42.05711782911128
3.761866054569352e-24,-53.93712710645813
4.435096390205185e-21,-46.86473760336872
2.1168824591824865e-19,-42.99917229862679
4.2798583181044476e-23,-51.5055372330639
1.0260137430907628e-21,-48.32860581139078
9.043966087434858e-25,-55.36252952017323
1.1838167191752014e-22,-50.488128319383556
2.906472836522546e-18,-40.37959141154617
1.1355588666258465e-18,-41.319406750642415
3.970530323726156e-20,-44.67280219130065
1.9570562856658314e-23,-52.28801568966402
9.765603568947341e-21,-46.07542058104044
5.340765852685629e-20,-44.37633279908629
1.2010253885736635e-19,-43.56594108448402
1.7734807306853305e-21,-47.78134282283617
4.332995926083838e-18,-39.98027247134232
1.0047183263763624e-20,-46.04699462991581
3.7315613527225214e-24,-53.945215492563875
2.0315450004969106e-20,-45.34290527231614
4.545527143427003e-21,-46.84014324881879
1.1322889400853457e-19,-43.62487557225074
2.1317139425701473e-23,-52.20253081484003
4.2602415880431684e-20,-44.60237599039938
8.116664437640515e-18,-39.352612387655725
1.05311536740181e-19,-43.69736397905089
1.9835620391890717e-19,-43.06422252876873
9.700710494139841e-20,-43.77950273023546
9.913493406990357e-22,-48.36297524632642
5.447460634178262e-19,-42.05396720547776
3.2994514869683304e-19,-42.555360528300056
4.104470122938992e-25,-56.15255067117025
8.15152001415154e-22,-48.55866763120221
6.549932661115585e-25,-55.68517255600254
5.0363494826819357e-20,-44.4350203492278
1.0856423281005149e-19,-43.66694494759582
2.483813410991579e-21,-47.444491907973095
1.3141273552440245e-23,-52.68628430169814
1.3434462812538474e-23,-52.66421897476926
9.043710731615941e-22,-48.454802476527384
3.4854950774140195e-25,-56.31601723121194
2.257700562297464e-16,-36.02701464288531
2.985752287471434e-23,-51.86560540116735
1.8108644876571334e-20,-45.45789751113598
5.175794441858366e-21,-46.71029411017085
5.912622304687641e-23,-51.18236769947668
1.7778473602427548e-22,-50.08146876159485
7.23632334378235e-19,-41.77000351492069
5.963258261409323e-24,-53.476425212003434
3.3210780693478885e-17,-37.943657130997295
1.4128660663880505e-18,-41.10091136138641
9.296318487495677e-23,-50.72983867863732
4.8804442349536785e-19,-42.16388051941215
9.296230742376762e-23,-50.7298481173773
4.512612791366243e-20,-44.544825541217676
1.5408395976998074e-19,-43.31678930571365
4.166476169158323e-25,-56.13755668965816
