# id redshift galex.FUV galex.FUV_err galex.NUV galex.NUV_err sloan.sdss.uprime sloan.sdss.uprime_err sloan.sdss.gprime sloan.sdss.gprime_err sloan.sdss.rprime sloan.sdss.rprime_err sloan.sdss.iprime sloan.sdss.iprime_err sloan.sdss.zprime sloan.sdss.zprime_err panstarrs.ps1.g panstarrs.ps1.g_err panstarrs.ps1.r panstarrs.ps1.r_err panstarrs.ps1.i panstarrs.ps1.i_err panstarrs.ps1.z panstarrs.ps1.z_err panstarrs.ps1.y panstarrs.ps1.y_err 2mass.J  2mass.J_err  2mass.H  2mass.H_err  2mass.Ks  2mass.Ks_err wise.W1 wise.W1_err wise.W2 wise.W2_err wise.W3 wise.W3_err wise.W4 wise.W4_err
SN2018bcc 0.0636 0.03967 0.006273 0.0439 0.002508 0.05787 0.005926 0.147 0.004061 0.1892 0.01081 0.2441 0.02026 0.2478 0.0201  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan 0.115 0.01519 0.05624 0.006124  nan  nan  nan  nan
SN2019dge 0.0213  nan  nan  nan  nan 0.05862 0.007198 0.1532 0.002963 0.2397 0.007948 0.2692 0.006942 0.3133 0.01675 0.1529 0.008031 0.2386 0.007033 0.2816 0.01167 0.297 0.01533 0.3119 0.03425 0.2845 0.06447 0.3113 0.1431  nan  nan 0.1505 0.01138 0.09845 0.006079  nan  nan  nan  nan
SN2018gep 0.03154 0.03333 0.000921 0.03688 0.0008833 0.04567 0.006542 0.1097 0.004344 0.123 0.005101 0.1389 0.007938 0.1489 0.0223 0.1008 0.004459 0.1094 0.007661 0.1061 0.007823 0.1272 0.01397  nan  nan  nan  nan  nan  nan  nan  nan 0.06963 0.01192 0.03604 0.008134  nan  nan  nan  nan
SN2018ghd 0.03923  nan  nan  nan  nan 0.226 0.01041 0.8742 0.01047 1.628 0.01649 2.283 0.02523 2.954 0.06803 0.8921 0.0115 1.6 0.01915 2.239 0.02062 2.752 0.03548 3.386 0.06549 3.522 0.1785 4.93 0.268 3.575 0.3198 2.428 0.03578 1.568 0.02166  nan  nan  nan  nan
AT2018lug 0.2714 0.007799 0.003593 0.0114 0.00102 0.008403 0.003558 0.01492 0.0005359 0.02204 0.001097 0.01879 0.002465 0.03644 0.005085 0.01202 0.0008756 0.01549 0.001285 0.01724 0.0008576 0.02866 0.002564 0.01664 0.01001  nan  nan  nan  nan  nan  nan 0.0184 0.005484 0.004471 0.005086  nan  nan  nan  nan
SN2018gjx 0.00999  nan  nan 2.689 0.03963 5.776 0.1703 15.91 0.1612 26.02 0.4074 35.32 1.204 44.71 1.648 16.25 0.3143 26.18 0.3617 32.84 0.6353 38.2 0.5981 45.46 1.424 52.58 1.259 59.49 1.644 50.54 1.49 33.92 0.2812 20.4 0.2631  nan  nan  nan  nan
SN2019deh 0.05469 0.2984 0.02008 0.3722 0.0048 0.6957 0.02051 1.963 0.03073 3.034 0.04751 4.313 0.09933 4.773 0.3212 1.936 0.0856 3.051 0.05901 3.802 0.03852 4.112 0.2046 5.998 0.3593 5.395 0.4079 7.212 0.5985 6.404 0.7686 3.062 0.127 1.815 0.08528  nan  nan  nan  nan
AT2019esf 0.0758 0.03545 0.001764 0.04422 0.001141 0.1312 0.01478 0.3519 0.08108 0.4844 0.1034 0.6183 0.09837 0.5702 0.08274 0.2379 0.0394 0.3601 0.04155 0.48 0.06162 0.4635 0.05004 0.5728 0.1136 0.6054 0.09687 1.018 0.1676 0.8003 0.1505 0.4575 0.03501 0.213 0.02339 1.065 0.07164 0.3894 0.2684
AT2019kyw 0.074  nan  nan  nan  nan 0.02308 0.003285 0.04037 0.001748 0.04546 0.003689 0.0504 0.003577 0.05405 0.0122 0.0348 0.003274 0.0511 0.002354 0.05582 0.001851 0.05521 0.004123 0.06824 0.0189  nan  nan  nan  nan  nan  nan 0.019 0.008697  nan  nan  nan  nan  nan  nan
SN2019myn 0.1 0.01464 0.001513 0.0135 0.001283 0.01813 0.005387 0.04089 0.001959 0.06749 0.004541 0.08535 0.004247 0.07462 0.01621 0.05351 0.004045 0.06071 0.002964 0.07393 0.003542 0.08234 0.007899 0.06792 0.03789  nan  nan  nan  nan  nan  nan 0.04298 0.008284 0.01565 0.007735  nan  nan  nan  nan
SN2019php 0.087  nan  nan  nan  nan  nan  nan 0.0004044 0.0001201 0.0 0.0002312  nan  nan 0.0 0.0008427  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan  nan
